state,raw_name,norm_name
CA,"FinThrive Healthcare, Inc.",finthrive healthcare
CA,"ExlService.com, LLC",exlservice com
CA,Online Advertising Network sp. z o.o.,online advertising network sp z o o
CA,Ocean Global Inc,ocean global
CA,Mobile Technology Corporation,mobile technology
CA,Opensend Inc,opensend
CA,Optable Technologies US Inc.,optable technologies us
CA,Outward Media Inc.,outward media
CA,Pacific East Research Inc,pacific east research
CA,"Paramount Lists, Inc.",paramount lists
CA,"Path2Response, LLC",path2response
CA,"Knowledge Works, Inc.",knowledge works
CA,"Pen-Link, Ltd.",pen link
CA,Hivestack Technologies Inc.,hivestack technologies
CA,Command Precision Inc.,command precision
CA,PeoplefindersDaaS,peoplefindersdaas
CA,Datamentors LLC,datamentors
CA,"PlaceIQ, Inc.",placeiq
CA,Plug Chargers LLC,plug chargers
CA,"Plunge, LLC",plunge
CA,Podible Inc,podible
CA,"Pop Acta Media, LLC",pop acta media
CA,Precisely Software Incorporated,precisely software
CA,PrivCo Holding Inc,privco holding
CA,"Addapptation, Inc.",addapptation
CA,"National Data Analytics, LLC",national data analytics
CA,"Information Data Resources, LLC",information data resources
CA,BIGDBM,bigdbm
CA,"PulsePoint, Inc.",pulsepoint
CA,"Quad Graphics, Inc.",quad graphics
CA,RampedUp,rampedup
CA,"Ray CDP, Inc.",ray cdp
CA,Globicom Inc,globicom
CA,Redmob LLC,redmob
CA,Reklaim Ltd.,reklaim
CA,GETEMAILS LLC,getemails
CA,"RevenueBase, Inc",revenuebase
CA,"ReallyGreatRate, Inc",reallygreatrate
CA,"ROR Partners, LLC",ror partners
CA,S&P Global Inc,s p global
CA,Sabio Inc,sabio
CA,"Aniline, Inc.",aniline
CA,SciLeads Ltd,scileads
CA,"Seamless Contacts, Inc.",seamless contacts
CA,"Civil Data Research, LLC",civil data research
CA,"ZipStorm, Inc.",zipstorm
CA,Semasio GmbH,semasio
CA,The Segerdahl LLC,the segerdahl
CA,Predactiv,predactiv
CA,"SheerID, Inc.",sheerid
CA,"Slashdot Media, LLC",slashdot media
CA,SMARTe Inc,smarte
CA,"Effyis, Inc.",effyis
CA,Connection Holdings,connection holdings
CA,"Specialists Marketing Services, Inc.",specialists marketing services
CA,Speedeon Data LLC,speedeon data
CA,"Spokeo, Inc.",spokeo
CA,"Spy Labs AdCo, LLC",spy labs adco
CA,"Digital Safety Products, LLC",digital safety products
CA,StackAdapt Inc.,stackadapt
CA,"Intermedia Ventures, LLC",intermedia ventures
CA,StatSocial,statsocial
CA,"Stirista, LLC",stirista
CA,"Qurium Solutions, Inc.",qurium solutions
CA,Swordfish AI Inc,swordfish ai
CA,"Orgio, Inc.",orgio
CA,Think Data Group Inc,think data group
CA,Revenue Roll Inc.,revenue roll
CA,"Enformion, LLC",enformion
CA,Trans Union LLC,trans union
CA,"TripleLift, Inc.",triplelift
CA,"TrueData Solutions, Inc.",truedata solutions
CA,"Free Data Services, LLC",free data services
CA,"Huge Legal Technology Company, Inc",huge legal technology company
CA,"TruthFinder, LLC",truthfinder
CA,"Unacast, Inc.",unacast
CA,"upcell, LLC",upcell
CA,"Urban Science Applications, Inc.",urban science applications
CA,BH Marketing Group LLC,bh marketing group
CA,"USADATA, Inc",usadata
CA,"Valassis Communications, Inc.",valassis communications
CA,"GetVector, Inc.",getvector
CA,"Vendelux, Inc.",vendelux
CA,"Venntel, Inc.",venntel
CA,Versar Data Solutions Inc,versar data solutions
CA,"Jun Group Productions, LLC",jun group productions
CA,Wunderkind Corporation,wunderkind
CA,PubMatic Inc.,pubmatic
CA,"Yobi Ventures, Inc.",yobi ventures
CA,"ZoomInfo Technologies, LLC",zoominfo technologies
VT,BLIS GLOBAL LTD,blis global
VT,"Wiland, Inc.",wiland
VT,Lookify,lookify
VT,"M1 Data & Analytics, LLC",m1 data analytics
VT,Veeva Systems Inc.,veeva systems
VT,Digital Media Solutions,digital media solutions
VT,Merkle Inc.,merkle
VT,"Giant Partners, Inc.",giant partners
VT,Project Applecart LLC,project applecart
VT,"SUUS, LLC",suus
VT,"Alliant Cooperative Data Solutions, LLC",alliant cooperative data solutions
VT,Stirista LLC,stirista
VT,Azira,azira
VT,NFocus Consulting Inc,nfocus consulting
VT,"Data Driven Safety, LLC",data driven safety
VT,Redmob LLC,redmob
VT,HealthWise Data LLC,healthwise data
VT,ASL Marketing,asl marketing
VT,"Compact Information Systems, LLC d/b/a Deep Sync",compact information systems d b a deep sync
VT,HomeData,homedata
VT,Datamentors LLC dba Porch Group Media,datamentors dba porch group media
VT,Uplead,uplead
VT,All Good Media LLC,all good media
VT,PrivCo Media LLC,privco media
VT,"Crunchbase, Inc.",crunchbase
VT,RP On-Site LLC,rp on site
VT,"Cuebiq Group, LLC",cuebiq group
VT,True Blue Analytics,true blue analytics
VT,SalesIntel Research Inc,salesintel research
VT,"BeenVerified, LLC, The Lifetime Value Co. LLC and subsidiaries and affiliates",beenverified the lifetime value and subsidiaries and affiliates
VT,"Spokeo, Inc",spokeo
VT,"Nativo, Inc.",nativo
VT,Precisely Software Incorporated,precisely software
VT,"PlaceIQ, Inc.",placeiq
VT,"BLACK KNIGHT DATA & ANALYTICS, LLC",black knight data analytics
VT,"Collateral Analytics, LLC",collateral analytics
VT,Minerva BI Inc,minerva bi
VT,MCH Inc.,mch
VT,"Economic Modeling, LLC",economic modeling
VT,"Civis Analytics, Inc",civis analytics
VT,"DealerX Partners, llc",dealerx partners
VT,"Warmly, Inc.",warmly
VT,"CIC Mortgage Credit, Inc",cic mortgage credit
VT,Len Schenker,len schenker
VT,Explorium Inc.,explorium
VT,"MaxMind, Inc.",maxmind
VT,"Early Warning Services, LLC",early warning services
VT,"Blackbaud, Inc.",blackbaud
VT,J.D. Power,j d power
VT,"Fideo Intelligence, Inc.",fideo intelligence
VT,Crimson Hexagon,crimson hexagon
VT,"InfoPay, Inc",infopay
VT,"Guidestar Direct, Corp.",guidestar direct
VT,Clay Labs LLC,clay labs
VT,ACXIOM LLC,acxiom
VT,"Whitepages, Inc",whitepages
VT,Definitive Healthcare LLC,definitive healthcare
VT,LexisNexis,lexisnexis
VT,"Aidentified, Inc.",aidentified
VT,"Fraiser, LLC",fraiser
VT,Real Intent Inc.,real intent
VT,DATADELIVERS LLC,datadelivers
VT,MediaWallah Inc,mediawallah
VT,FIRST ORION CORP,first orion
VT,UPS Capital Corporation,ups capital
VT,Institutional Shareholder Services Inc.,institutional shareholder services
VT,"Narvar, Inc.",narvar
VT,"TRUTHFINDER, LLC",truthfinder
VT,"INSTANT CHECKMATE, LLC",instant checkmate
VT,"Intelius, LLC",intelius
VT,GETEMAILS LLC,getemails
VT,"AtData, LLC",atdata
VT,Zipstorm LLC,zipstorm
VT,"G2 Bankruptcy Risk Solutions, Inc.",g2 bankruptcy risk solutions
VT,"ISO Services, Inc.",iso services
VT,"Versium Analytics, Inc.",versium analytics
VT,"HireTeamMate, Inc. dba hireEZ",hireteammate dba hireez
VT,"Trestle Solutions, Inc.",trestle solutions
VT,"Collective Data Solutions, LLC",collective data solutions
VT,Message Digital LLC,message digital
VT,"Valassis Communications, Inc.",valassis communications
VT,"Semasio, Inc.",semasio
VT,CTAM LeadShare Corp,ctam leadshare
VT,"Seamless Contacts, Inc. d/b/a Seamless.AI",seamless contacts d b a seamless ai
VT,"ActivImpact, LLC",activimpact
VT,AccuData Integrated Marketing,accudata integrated marketing
VT,LeadPost LLC,leadpost
VT,"Electronic Voice Services, Inc.",electronic voice services
VT,"ACH, Address Clearing House",ach address clearing house
VT,"United One Resources, Inc.",united one resources
